code_etab;secteur;cisco;commune;zap;fokontany;nom_etab;x;y;resultat_global;nb_ENF;nb_Ens_foncts;nb_PA_NonFonct;nb_PA_Fonct;nb_Bénevoles;effectif_total_Personnels;LAPEN;MAPEN;BAC;BTS;M1;M2;INGENIEUR;DEA;DOCTORAT;Inf_Bacc;Nom_prenoms_DIR;Contact_DIR;adresse_Etab;nb_classe_petite_section;nb_classe_moyenne_section;nb_classe_grande_section;nb_classe_12em;nb_classe_11em;nb_classe_10em;nb_classe_9em;nb_classe_8em;nb_classe_7em;nb_classe_6em;nb_classe_5em;nb_classe_4em;nb_classe_3em;nb_seconde;nb_Pr_A;nb_Pr_C;nb_Pr_D;nb_Pr_L;nb_Pr_OSE;nb_Pr_S;nb_Pr_tot;nb_T_A;nb_Pr_T_C;nb_T_D;nb_T_L;nb_T_S;nb_T_OSE;nb_T_tot;taux-bacc-A1;taux-bacc-A2;taux-bacc-C;taux-bacc-D;taux-bacc-L;taux-bacc-OSE;taux-bacc-S;Montant_caisse-ecole;rapport_utilisation_caisse_ecole
113161004;Privée;BETAFO;SOAVINA;SOAVINA;SOAVINA;LYCEE PRIVE CATHOLIQUE SAINT PIERRE MAZAVASOA SOAVINA;46,73008209;-19,78782484;43,37%;7;0;0;0;0;7;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113170010;Publique;BETAFO;TRITRIVA;TRITRIVA;TRITRIVA;LYCEE COMMUNAUTAIRE TRITRIVA;46,93260691;-19,92644009;43,37%;12;3;0;3;0;18;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113220023;Publique;BETAFO;ANOSIARIVO MANAPA;ANOSIARIVO MANAPA;ANOSIARIVO MANAPA;LYCEE ANOSIARIVO MANAPA;46,6811385;-20,01501446;43,37%;4;8;2;0;0;14;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113230013;Publique;BETAFO;ANTOHOBE;ANTOHOBE;ANTOHOBE;LYCEE ANTOHOBE;46,68149447;-19,76818005;43,37%;7;6;1;1;0;15;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
114010016;Publique;FARATSIHO;AMBOHIBORONA;AMBATOFOTSY;BETSIZARAINA;LYCEE AMBATOFOTSY;47,09628576;-19,39036654;46,86%;4;11;0;0;0;15;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;47,21%;51,54%;25,00%;36,06%;65,25%;39,24%;18,12%;;
114011001;Privée;FARATSIHO;AMBOHIBORONA;AMBATOFOTSY;ANTSONJORANO;LYCEE PRIVE CATHOLIQUE SAINT AUGUSTIN ANTSONJORANO;47,11466462;-19,39944875;46,86%;6;0;0;0;0;6;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;47,21%;51,54%;25,00%;36,06%;65,25%;39,24%;18,12%;;
114011020;Privée;FARATSIHO;AMBOHIBORONA;AMBATOFOTSY;ANTSONJORANO;LYCEE PRIVE LA CONCEPTION AMBATOFOTSY;47,10989216;-19,39691757;46,86%;4;0;1;0;0;5;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;47,21%;51,54%;25,00%;36,06%;65,25%;39,24%;18,12%;;
114020007;Publique;FARATSIHO;ANDRANOMIADY;ANDRANOMIADY;ANDRANOMIADY;LYCEE ANDRANOMIADY;46,98809497;-19,24143487;46,86%;2;5;0;0;0;7;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;47,21%;51,54%;25,00%;36,06%;65,25%;39,24%;18,12%;;
114030018;Publique;FARATSIHO;ANTSAMPANIMAHAZO;ANTSAMPANIMAHAZO;AVARATRAKOLAHY;LYCEE ANTSAMPANIMAHAZO;47,01847005;-19,41344109;46,86%;3;11;1;0;1;16;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;47,21%;51,54%;25,00%;36,06%;65,25%;39,24%;18,12%;;
114040030;Publique;FARATSIHO;FARATSIHO;FARATSIHO;TSARATANANA;LYCEE FARATSIHO;46,96489227;-19,38670983;46,86%;2;29;0;8;0;39;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;47,21%;51,54%;25,00%;36,06%;65,25%;39,24%;18,12%;;
