code_etab;secteur;cisco;commune;zap;fokontany;nom_etab;x;y;resultat_global;nb_ENF;nb_Ens_foncts;nb_PA_NonFonct;nb_PA_Fonct;nb_Bénevoles;effectif_total_Personnels;LAPEN;MAPEN;BAC;BTS;M1;M2;INGENIEUR;DEA;DOCTORAT;Inf_Bacc;Nom_prenoms_DIR;Contact_DIR;adresse_Etab;nb_classe_petite_section;nb_classe_moyenne_section;nb_classe_grande_section;nb_classe_12em;nb_classe_11em;nb_classe_10em;nb_classe_9em;nb_classe_8em;nb_classe_7em;nb_classe_6em;nb_classe_5em;nb_classe_4em;nb_classe_3em;nb_seconde;nb_Pr_A;nb_Pr_C;nb_Pr_D;nb_Pr_L;nb_Pr_OSE;nb_Pr_S;nb_Pr_tot;nb_T_A;nb_Pr_T_C;nb_T_D;nb_T_L;nb_T_S;nb_T_OSE;nb_T_tot;taux-bacc-A1;taux-bacc-A2;taux-bacc-C;taux-bacc-D;taux-bacc-L;taux-bacc-OSE;taux-bacc-S;Montant_caisse-ecole;rapport_utilisation_caisse_ecole
110011091;Privée;ANTSIRABE I;CU ANTSIRABE;ANTSENAKELY ANDRAIKIBA;ANTSENAKELY;SEKOLY LOTERANA FARIMBONA;47,03383471;-19,87084846;10,28%;16;0;0;0;0;16;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011092;Privée;ANTSIRABE I;CU ANTSIRABE;ANTSENAKELY ANDRAIKIBA;AVARATSENA;ECOLE PRIVEE FANAVOTANA;47,02841123;-19,86508342;10,28%;10;0;0;0;0;10;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011098;Privée;ANTSIRABE I;CU ANTSIRABE;SOAMALAZA MAHATSINJO;SOAMALAZA;ECOLE PRIVEE LA COLOMBE;47,04081491;-19,87265139;10,28%;5;0;0;0;0;5;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011099;Privée;ANTSIRABE I;CU ANTSIRABE;SOAMALAZA MAHATSINJO;SOAMALAZA;LYCEE PRIVE LES MARMAILLES;47,03732712;-19,86749237;10,28%;10;0;39;0;0;49;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011100;Privée;ANTSIRABE I;CU ANTSIRABE;SOAMALAZA MAHATSINJO;SOAMALAZA;COLLEGE LA PETITE MATERNELLE DES BAMBINOS;47,04069035;-19,87141234;10,28%;9;0;0;0;0;9;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011101;Privée;ANTSIRABE I;CU ANTSIRABE;SOAMALAZA MAHATSINJO;SOAMALAZA;COLLEGE LA PROVIDENCE;47,03568863;-19,87147542;10,28%;14;0;0;0;0;14;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011102;Privée;ANTSIRABE I;CU ANTSIRABE;SOAMALAZA MAHATSINJO;AMBALAVATO 401;ECOLE PRIVEE LES GALOPINS;47,04488852;-19,87502231;10,28%;14;0;1;0;0;15;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011103;Privée;ANTSIRABE I;CU ANTSIRABE;SOAMALAZA MAHATSINJO;TOMBOARIVO;ECOLE MISSION EVANGELIQUE ARCHE DE NOE;47,04174506;-19,86675203;10,28%;5;0;0;0;0;5;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011111;Privée;ANTSIRABE I;CU ANTSIRABE;SOAMALAZA MAHATSINJO;ANDROVAKELY;SEKOLY LOTERANA ANDROVAKELY;47,05907117;-19,89029237;10,28%;6;0;0;0;0;6;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011116;Privée;ANTSIRABE I;CU ANTSIRABE;SOAMALAZA MAHATSINJO;SOAMALAZA;COLLEGE IMMACULEE CONCEPTION;47,03505623;-19,87238556;10,28%;22;0;0;0;0;22;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011118;Privée;ANTSIRABE I;CU ANTSIRABE;MANODIDINA NY GARA AMBILOMBE;ANTSIRABE AVARATRA;ECOLE PRIVEE SAINT VINCENT DE PAUL ANNEXE;47,03559268;-19,8544112;10,28%;7;0;0;0;0;7;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011119;Privée;ANTSIRABE I;CU ANTSIRABE;MANODIDINA NY GARA AMBILOMBE;SAHAROALOHA;ECOLE PRIVEE LES PAPOUSES DES BAMBINOS;47,04408612;-19,85099998;10,28%;10;0;0;0;0;10;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011127;Privée;ANTSIRABE I;CU ANTSIRABE;MAHAZOARIVO AVARABOHITRA;MAHAZOARIVO NORD;LYCEE ADVENTISTE MAHAZOARIVO;47,02960521;-19,85511042;10,28%;8;0;0;0;0;8;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011129;Privée;ANTSIRABE I;CU ANTSIRABE;MAHAZOARIVO AVARABOHITRA;ANTSONGO;LYCEE PRIVE LA BERGERIE;47,02667767;-19,84476744;10,28%;9;0;0;0;0;9;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110011132;Privée;ANTSIRABE I;CU ANTSIRABE;MAHAZOARIVO AVARABOHITRA;MIARAMASOANDRO;COLLEGE PRIVE LES ORCHIDEES;47,03634571;-19,83976565;10,28%;18;0;0;0;0;18;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
