code_etab;secteur;cisco;commune;zap;fokontany;nom_etab;x;y;resultat_global;nb_ENF;nb_Ens_foncts;nb_PA_NonFonct;nb_PA_Fonct;nb_Benevoles;effectif_total_Personnels;LAPEN;MAPEN;BAC;BTS;M1;M2;INGENIEUR;DEA;DOCTORAT;Inf_Bacc;Nom_prenoms_DIR;Contact_DIR;adresse_Etab;nb_classe_petite_section;nb_classe_moyenne_section;nb_classe_grande_section;nb_classe_12em;nb_classe_11em;nb_classe_10em;nb_classe_9em;nb_classe_8em;nb_classe_7em;nb_classe_6em;nb_classe_5em;nb_classe_4em;nb_classe_3em;nb_seconde;nb_Pr_A;nb_Pr_C;nb_Pr_D;nb_Pr_L;nb_Pr_OSE;nb_Pr_S;nb_Pr_tot;nb_T_A;nb_Pr_T_C;nb_T_D;nb_T_L;nb_T_S;nb_T_OSE;nb_T_tot;taux-bacc-A1;taux-bacc-A2;taux-bacc-C;taux-bacc-D;taux-bacc-L;taux-bacc-OSE;taux-bacc-S;Montant_caisse-ecole;rapport_utilisation_caisse_ecole
111041022;Privée;ANTSIRABE II;AMBATOMENA;AMBATOMENA;MITSINJOARIVO BETAMPONA;ECOLE PRIVEE LUTHERIENNE AMBOHIDAVA;47,28232047;-19,81869316;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111071004;Privée;ANTSIRABE II;AMBOHIMIARIVO;AMBOHIMIARIVO;AMBOHIKAMBANA;ECOLE PRIVEE LUTHERIENNE AMBOHIDROA;47,19135467;-19,80648901;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111041013;Privée;ANTSIRABE II;AMBATOMENA;AMBATOMENA;AMBOLAVOLA;ECOLE PRIVEE LUTHERIENNE AMBOVONA;47,30706301;-19,79764428;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111041015;Privée;ANTSIRABE II;AMBATOMENA;AMBATOMENA;ANOSY;ECOLE PRIVEE LUTHERIENNE ANOSY;47,27270624;-19,82230651;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111071008;Privée;ANTSIRABE II;AMBOHIMIARIVO;AMBOHIMIARIVO;ANTANAMBAO;ECOLE PRIVEE LUTHERIENNE ANTANAMBAO;47,1888534;-19,86097526;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111031007;Privée;ANTSIRABE II;AMBANO;AMBANO;AMPARIHINDRAMANANIOLONA;ECOLE PRIVEE LUTHERIENNE BEFARITRA;47,04087017;-19,68316278;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111191007;Privée;ANTSIRABE II;TSARAHONENANA SAHANIVOTRY;TSARAHONENANA;MAROMANDRAISOA;ECOLE PRIVEE LUTHERIENNE BEMASOANDRO;47,21167464;-20,03430626;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111191005;Privée;ANTSIRABE II;TSARAHONENANA SAHANIVOTRY;TSARAHONENANA;MAROMANDRAISOA;ECOLE PRIVEE LUTHERIENNE FIERENANTSOA SUD;47,21175142;-20,05337346;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111041029;Privée;ANTSIRABE II;AMBATOMENA;AMBATOMENA;AMPANATAOVANA;ECOLE PRIVEE LUTHERIENNE KANANA;47,35917027;-19,80594717;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111071005;Privée;ANTSIRABE II;AMBOHIMIARIVO;AMBOHIMIARIVO;BETSIHOLANY;ECOLE PRIVEE LUTHERIENNE LOHARANO;47,15344373;-19,85298877;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
