code_etab;secteur;cisco;commune;zap;fokontany;nom_etab;x;y;resultat_global;nb_ENF;nb_Ens_foncts;nb_PA_NonFonct;nb_PA_Fonct;nb_Bénevoles;effectif_total_Personnels;LAPEN;MAPEN;BAC;BTS;M1;M2;INGENIEUR;DEA;DOCTORAT;Inf_Bacc;Nom_prenoms_DIR;Contact_DIR;adresse_Etab;nb_classe_petite_section;nb_classe_moyenne_section;nb_classe_grande_section;nb_classe_12em;nb_classe_11em;nb_classe_10em;nb_classe_9em;nb_classe_8em;nb_classe_7em;nb_classe_6em;nb_classe_5em;nb_classe_4em;nb_classe_3em;nb_seconde;nb_Pr_A;nb_Pr_C;nb_Pr_D;nb_Pr_L;nb_Pr_OSE;nb_Pr_S;nb_Pr_tot;nb_T_A;nb_Pr_T_C;nb_T_D;nb_T_L;nb_T_S;nb_T_OSE;nb_T_tot;taux-bacc-A1;taux-bacc-A2;taux-bacc-C;taux-bacc-D;taux-bacc-L;taux-bacc-OSE;taux-bacc-S;Montant_caisse-ecole;rapport_utilisation_caisse_ecole
110010018;Publique;ANTSIRABE I;CU ANTSIRABE;MAHAZOARIVO AVARABOHITRA;AMBOHITSOKINA;EPP AMBOHITSOKINA;47,01070074;-19,82429115;Pas d'examen;2;0;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010019;Publique;ANTSIRABE I;CU ANTSIRABE;ANTSENAKELY ANDRAIKIBA;AMBORONOMBY;EPP AMBORONOMBY;47,02208265;-19,87460982;Pas d'examen;1;3;0;0;0;4;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010020;Publique;ANTSIRABE I;CU ANTSIRABE;ANTSENAKELY ANDRAIKIBA;ANDRANGY;EPP ANDRANGY;46,99257164;-19,89845713;Pas d'examen;1;1;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010021;Publique;ANTSIRABE I;CU ANTSIRABE;ANTSIRABE AFOVOANY ATSINANANA AMBOHIMANARIVO;AMBALAVATO 601;EPP ANJABOJABO;47,03045872;-19,93466603;Pas d'examen;0;1;0;0;0;1;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010022;Publique;ANTSIRABE I;CU ANTSIRABE;SOAMALAZA MAHATSINJO;ANDROVAKELY;EPP ANKADILALANA;47,0716753;-19,89180735;Pas d'examen;0;1;0;0;0;1;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010023;Publique;ANTSIRABE I;CU ANTSIRABE;ANTSENAKELY ANDRAIKIBA;ANTANAMBAO EST IVOHITRA;EPP ANTANAMBAO EST IVOHITRA;47,01654365;-19,88624944;Pas d'examen;1;1;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010024;Publique;ANTSIRABE I;CU ANTSIRABE;MANODIDINA NY GARA AMBILOMBE;ANTSIRABE AVARATRA;EPP ANTSIRABE AVARATRA;47,03608327;-19,85110739;Pas d'examen;0;1;0;0;0;1;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010025;Publique;ANTSIRABE I;CU ANTSIRABE;MAHAZOARIVO AVARABOHITRA;ANTSONGO;EPP ANTSONGO;47,02401785;-19,84965058;Pas d'examen;1;3;0;0;0;4;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010026;Publique;ANTSIRABE I;CU ANTSIRABE;MAHAZOARIVO AVARABOHITRA;AVARABOHITRA;EPP AVARABOHITRA;46,99387692;-19,83337081;Pas d'examen;0;1;0;0;0;1;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010027;Publique;ANTSIRABE I;CU ANTSIRABE;MANODIDINA NY GARA AMBILOMBE;MANODIDINA NY GARA;EPP AVENUE DE L'INDEPENDANCE;47,03525502;-19,86673804;Pas d'examen;2;0;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010028;Publique;ANTSIRABE I;CU ANTSIRABE;AMPATANA MANDRIANKENIHENY;AMBALAKISOA BEMASOANDRO;EPP BEMASOANDRO AMBALAKISOA;47,0246963;-19,87844873;Pas d'examen;0;3;0;0;0;3;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010029;Publique;ANTSIRABE I;CU ANTSIRABE;MANODIDINA NY GARA AMBILOMBE;FITOMILASI-BEVOKATRA;EPP BEVOKATRA;47,04021805;-19,8592296;Pas d'examen;1;1;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010031;Publique;ANTSIRABE I;CU ANTSIRABE;AMPATANA MANDRIANKENIHENY;FANANANA AMBOSITRAKELY;EPP FANANANA AMBOSITRAKELY;47,00423628;-19,91560137;Pas d'examen;1;0;0;0;0;1;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010032;Publique;ANTSIRABE I;CU ANTSIRABE;ANTSENAKELY ANDRAIKIBA;FIADANANA;EPP FIADANANA;47,00555545;-19,88925231;Pas d'examen;0;1;0;0;0;1;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010033;Publique;ANTSIRABE I;CU ANTSIRABE;ANTSIRABE AFOVOANY ATSINANANA AMBOHIMANARIVO;AMBALAVATO 601;EPP FITSINDRONANA;47,02195403;-19,92794445;Pas d'examen;1;0;0;0;0;1;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010034;Publique;ANTSIRABE I;CU ANTSIRABE;ANTSENAKELY ANDRAIKIBA;IVORY;EPP KARMALY;47,02454143;-19,8674262;Pas d'examen;3;1;0;0;0;4;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010035;Publique;ANTSIRABE I;CU ANTSIRABE;SOAMALAZA MAHATSINJO;MAHATSINJO;EPP MAHATSINJO;47,08313766;-19,90359553;Pas d'examen;0;1;0;0;0;1;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010036;Publique;ANTSIRABE I;CU ANTSIRABE;MAHAZOARIVO AVARABOHITRA;MAHAZOARIVO NORD;EPP MAHAZOARIVO I;47,03175764;-19,85237583;Pas d'examen;0;2;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010037;Publique;ANTSIRABE I;CU ANTSIRABE;MAHAZOARIVO AVARABOHITRA;MAHAZOARIVO NORD;EPP MAHAZOARIVO II;47,03240874;-19,8513877;Pas d'examen;3;2;0;0;0;5;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010038;Publique;ANTSIRABE I;CU ANTSIRABE;MAHAZOARIVO AVARABOHITRA;MAHAZOARIVO SUD;EPP MAHAZOARIVO SUD;47,02556077;-19,86121537;Pas d'examen;1;1;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
110010039;Publique;ANTSIRABE I;CU ANTSIRABE;MANODIDINA NY GARA AMBILOMBE;AMBOHIMANAMBOLA;EPP MANANJARA;47,05325214;-19,85724857;Pas d'examen;1;1;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
